step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
178,1.5808101892471313,0.800000011920929,,1.047113800048828,0.8,,,,,2025-10-25T16:59:40.4630000Z
179,0.9694019556045532,0.800000011920929,,0.9705421447753906,0.8,,,,,2025-10-25T16:59:41.7790000Z
180,1.879245400428772,0.6000000238418579,,1.146519088745117,0.8,,,,,2025-10-25T16:59:43.1130000Z
181,0.7943565249443054,0.800000011920929,,0.9758596420288086,0.8,,,,,2025-10-25T16:59:44.4000000Z
182,0.9032098650932312,0.800000011920929,,1.1090330123901366,0.8,,,,,2025-10-25T16:59:45.7100000Z
183,1.1280323266983032,0.800000011920929,,1.1162038803100587,0.8,,,,,2025-10-25T16:59:47.0230000Z
184,0.8413413763046265,0.800000011920929,,1.4468040466308594,0.8,,,,,2025-10-25T16:59:48.3170000Z
185,2.22544002532959,0.6000000238418579,,1.3136510848999023,0.8,,,,,2025-10-25T16:59:49.6180000Z
186,1.1967178583145142,0.800000011920929,,1.3052156448364258,0.8,,,,,2025-10-25T16:59:50.9190000Z
187,2.460563898086548,0.6000000238418579,,1.2571643829345702,0.8,,,,,2025-10-25T16:59:52.2340000Z
188,0.6641101837158203,0.800000011920929,,1.3458591461181642,0.8,,,,,2025-10-25T16:59:53.5970000Z
189,1.3876539468765259,0.800000011920929,,1.275440788269043,0.8,,,,,2025-10-25T16:59:54.9020000Z
190,0.6774349212646484,0.800000011920929,,1.4951642990112304,0.8,,,,,2025-10-25T16:59:56.2800000Z
191,1.0467936992645264,0.800000011920929,,1.4534269332885743,0.8,,,,,2025-10-25T16:59:57.6060000Z
192,0.7920745611190796,0.800000011920929,,1.275000762939453,0.8,,,,,2025-10-25T16:59:58.9310000Z
193,0.8305797576904297,0.800000011920929,,1.450914192199707,0.8,,,,,2025-10-25T17:00:00.2580000Z
194,2.3018155097961426,0.6000000238418579,,1.5411506652832032,0.8,,,,,2025-10-25T17:00:01.5910000Z
195,0.5577060580253601,1,,1.3713356018066407,0.8,,,,,2025-10-25T17:00:02.9170000Z
196,0.9427642822265625,0.800000011920929,,1.4122568130493165,0.8,,,,,2025-10-25T17:00:04.2250000Z
197,1.0122511386871338,0.800000011920929,,1.3316106796264648,0.8,,,,,2025-10-25T17:00:05.5310000Z
198,0.6596142053604126,0.800000011920929,,1.0656757354736328,0.8,,,,,2025-10-25T17:00:06.8460000Z
199,0.8892440795898438,0.800000011920929,,1.0721725463867187,0.8,,,,,2025-10-25T17:00:08.1840000Z
200,1.0137993097305298,0.800000011920929,,1.1604116439819336,0.8,,,,,2025-10-25T17:00:09.5430000Z
201,0.9823735952377319,0.800000011920929,,0.8359001159667969,0.8,,,,,2025-10-25T17:00:10.8470000Z
202,0.5838569402694702,1,,0.9681041717529297,0.8,,,,,2025-10-25T17:00:12.1530000Z
203,0.7655490636825562,0.800000011920929,,1.1874603271484374,0.8,,,,,2025-10-25T17:00:13.4570000Z
